id,Name,public_category_label,public_status_label,PrimaryLanguage,FirstReleaseYear,Status,ActivitySignal,rendering_generation,ecosystem,era,RenderingSurface,DisplayDependency,EngineFamily,RenderingModel,InteractionModel,Extensibility,MaturityScore,Confidence,LineageSoftware,LineageConcept,LineageConfidence,PrimarySource,explorer_summary,RenderingModelGroup,EngineGroup,EngineImplementationClass,InteractionComplexity,SemanticLayer,WorkspaceModel,RuntimeEnvironment,HostPlatform,EcosystemFamily,EcosystemContext,ImplementationStyle,PublicMaturityLabel,PublicLifecycleLabel,Notes,nearest_neighbors_v6,representative_set_v6,structural_identity_v6
term_aixterm,aixterm,Classic terminal,Legacy,C,1989,Legacy,archived,text_grid_cpu,standalone,foundational_unix,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,classic_tty,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://www.ibm.com/docs/en/aix,text grid cpu · reused widget engine · classic tty,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · classic tty,"[{'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 1.0}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 1.0}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 1.0}, {'id': 'term_termite', 'Name': 'Termite', 'similarity': 1.0}, {'id': 'term_aterm', 'Name': 'aterm', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + classic_tty
term_aterm,aterm,Classic terminal,Legacy,C,1998,Legacy,archived,text_grid_cpu,standalone,x11_toolkit_expansion,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,classic_tty,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://sourceforge.net/projects/aterm/,text grid cpu · reused widget engine · classic tty,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · classic tty,"[{'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 1.0}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 1.0}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 1.0}, {'id': 'term_termite', 'Name': 'Termite', 'similarity': 1.0}, {'id': 'term_aixterm', 'Name': 'aixterm', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + classic_tty
term_eterm,Eterm,Classic terminal,Legacy,C,1997,Legacy,archived,text_grid_cpu,standalone,x11_toolkit_expansion,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,classic_tty,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://sourceforge.net/projects/eterm/,text grid cpu · reused widget engine · classic tty,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · classic tty,"[{'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 1.0}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 1.0}, {'id': 'term_termite', 'Name': 'Termite', 'similarity': 1.0}, {'id': 'term_aixterm', 'Name': 'aixterm', 'similarity': 1.0}, {'id': 'term_aterm', 'Name': 'aterm', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + classic_tty
term_evilvte,evilvte,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://www.calno.com/evilvte/,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_fbpad,fbpad,Framebuffer / console terminal,Experimental,C,2010,Maintained,dormant,framebuffer_direct,standalone,gpu_and_web_divergence,no_window_system,framebuffer_or_console,minimal_native_engine,framebuffer_direct,multiplexed_ui,standard_terminal,0,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://github.com/aligrudi/fbpad,framebuffer direct · minimal native engine · multiplexed ui,framebuffer_direct,low_level_minimal,minimal_native,multiplexed_ui,none,system_console,native_runtime,no_window_system,standalone_or_independent,standalone,native_systems_language,Experimental,inactive_or_dormant,framebuffer direct · minimal native engine · multiplexed ui,"[{'id': 'term_linux_console', 'Name': 'Linux console', 'similarity': 0.7}, {'id': 'term_fbterm', 'Name': 'fbterm', 'similarity': 0.7}, {'id': 'term_yaft', 'Name': 'yaft', 'similarity': 0.7}, {'id': 'term_stjerm', 'Name': 'stjerm', 'similarity': 0.65}, {'id': 'term_st_suckless_terminal', 'Name': 'st', 'similarity': 0.35}]",[],framebuffer_direct + minimal_native_engine + multiplexed_ui
term_foot,Foot,GPU-native terminal,Active,C,2019,Active,active,gpu_accelerated,standalone,workflow_gpu_maturation,x11_wayland_native,native_gui_stack,custom_engine,gpu_accelerated,classic_tty,standard_terminal,3,source_grounded_v6,custom_gpu_engine,custom_gpu_or_renderer,model_defined,https://codeberg.org/dnkl/foot,gpu accelerated · custom engine · classic tty,gpu_accelerated,custom_gpu_engine,custom_gpu_or_renderer,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Active,active,gpu accelerated · custom engine · classic tty,"[{'id': 'term_alacritty', 'Name': 'Alacritty', 'similarity': 1.0}, {'id': 'term_rio', 'Name': 'Rio', 'similarity': 1.0}, {'id': 'term_darktile', 'Name': 'darktile', 'similarity': 1.0}, {'id': 'term_wayst', 'Name': 'wayst', 'similarity': 1.0}, {'id': 'term_zerotty', 'Name': 'zerotty', 'similarity': 1.0}]","['recommended_10', 'expanded_12']",gpu_accelerated + custom_engine + classic_tty
term_gnome_console_kgx,GNOME Console,Desktop terminal,Active,C,2021,Active,active,text_grid_cpu,gnome_ecosystem,workflow_gpu_maturation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://gitlab.gnome.org/GNOME/console,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}, {'id': 'term_konsole', 'Name': 'Konsole', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_gnome_terminal,GNOME Terminal,Desktop terminal,Active,C,1999,Active,active,text_grid_cpu,gnome_ecosystem,x11_toolkit_expansion,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,session_grouping,3,source_grounded_v6,vte_based,vte,model_defined,https://gitlab.gnome.org/GNOME/gnome-terminal,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,session_grouping,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}, {'id': 'term_konsole', 'Name': 'Konsole', 'similarity': 1.0}]","['recommended_10', 'expanded_12']",text_grid_cpu + reused_widget_engine + multiplexed_ui
term_kermit_vte_terminal,kermit,Desktop terminal,Maintained,C,2020,Maintained,dormant,text_grid_cpu,gnome_ecosystem,workflow_gpu_maturation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/orhun/kermit,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_lcxterm,lcxterm,Desktop terminal,Experimental,C,,Maintained,dormant,text_grid_cpu,standalone,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,0,source_grounded_v6,vte_based,vte,model_defined,https://lcxterm.sourceforge.io/,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Experimental,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_lilyterm,lilyterm,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/Tetralet/LilyTerm,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_linux_console,Linux console,Framebuffer / console terminal,Active,C,1991,Active,active,framebuffer_direct,standalone,x11_toolkit_expansion,no_window_system,framebuffer_or_console,minimal_native_engine,framebuffer_direct,classic_tty,standard_terminal,3,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,framebuffer direct · minimal native engine · classic tty,framebuffer_direct,low_level_minimal,minimal_native,classic_tty,none,system_console,native_runtime,no_window_system,standalone_or_independent,standalone,native_systems_language,Active,active,framebuffer direct · minimal native engine · classic tty,"[{'id': 'term_fbterm', 'Name': 'fbterm', 'similarity': 1.0}, {'id': 'term_yaft', 'Name': 'yaft', 'similarity': 1.0}, {'id': 'term_fbpad', 'Name': 'fbpad', 'similarity': 0.7}, {'id': 'term_st_suckless_terminal', 'Name': 'st', 'similarity': 0.65}, {'id': 'term_stjerm', 'Name': 'stjerm', 'similarity': 0.35}]","['recommended_10', 'expanded_12']",framebuffer_direct + minimal_native_engine + classic_tty
term_lterm,lterm,Desktop terminal,Maintained,C,,Maintained,dormant,text_grid_cpu,gnome_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://sourceforge.net/projects/lterm/,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_lxterminal,LXTerminal,Desktop terminal,Maintained,C,2008,Maintained,dormant,text_grid_cpu,lxde_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/lxde/lxterminal,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,lxde_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_mate_terminal,Mate Terminal,Desktop terminal,Active,C,,Active,active,text_grid_cpu,mate_ecosystem,unknown_epoch,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://github.com/mate-desktop/mate-terminal,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,mate_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]","['recommended_10', 'expanded_12']",text_grid_cpu + reused_widget_engine + multiplexed_ui
term_mrxvt,mrxvt,Desktop terminal,Legacy,C,2003,Legacy,archived,text_grid_cpu,standalone,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,https://github.com/razvanm/mrxvt,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_ptyxis,Ptyxis,Desktop terminal,Active,C,2023,Active,active,text_grid_cpu,gnome_ecosystem,workflow_gpu_maturation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://gitlab.gnome.org/chergert/ptyxis,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_roxterm,ROXTerm,Desktop terminal,Active,C,2006,Active,active,text_grid_cpu,gnome_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,3,source_grounded_v6,vte_based,vte,model_defined,https://github.com/realh/roxterm,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Active,active,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_rxvt,rxvt,Classic terminal,Legacy,C,1992,Legacy,archived,text_grid_cpu,standalone,x11_toolkit_expansion,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,classic_tty,standard_terminal,1,source_grounded_v6,terminal_widget_toolkit,generic_terminal_widget,model_defined,http://rxvt.sourceforge.net/,text grid cpu · reused widget engine · classic tty,text_grid_cpu,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Legacy,archived_or_legacy,text grid cpu · reused widget engine · classic tty,"[{'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 1.0}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 1.0}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 1.0}, {'id': 'term_termite', 'Name': 'Termite', 'similarity': 1.0}, {'id': 'term_aixterm', 'Name': 'aixterm', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + classic_tty
term_sakura,Sakura,Desktop terminal,Maintained,C,2006,Maintained,dormant,text_grid_cpu,gnome_ecosystem,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,reused_widget_engine,text_grid_cpu,multiplexed_ui,standard_terminal,2,source_grounded_v6,vte_based,vte,model_defined,https://github.com/dabisu/sakura,text grid cpu · reused widget engine · multiplexed ui,text_grid_cpu,vte_based,vte,multiplexed_ui,none,none,native_runtime,unix_linux_desktop,desktop_ecosystem,gnome_ecosystem,native_systems_language,Maintained,inactive_or_dormant,text grid cpu · reused widget engine · multiplexed ui,"[{'id': 'term_black_box', 'Name': 'Black Box', 'similarity': 1.0}, {'id': 'term_deepin_terminal', 'Name': 'Deepin Terminal', 'similarity': 1.0}, {'id': 'term_gnome_console_kgx', 'Name': 'GNOME Console', 'similarity': 1.0}, {'id': 'term_gnome_terminal', 'Name': 'GNOME Terminal', 'similarity': 1.0}, {'id': 'term_guake', 'Name': 'Guake', 'similarity': 1.0}]",[],text_grid_cpu + reused_widget_engine + multiplexed_ui
term_st_suckless_terminal,st,Classic terminal,Active,C,2009,Active,active,text_grid_cpu,standalone,desktop_widget_consolidation,x11_wayland_native,native_gui_stack,minimal_native_engine,text_grid_cpu,classic_tty,standard_terminal,3,source_grounded_v6,low_level_minimal,minimal_native,model_defined,https://st.suckless.org/,text grid cpu · minimal native engine · classic tty,text_grid_cpu,low_level_minimal,minimal_native,classic_tty,none,none,native_runtime,unix_linux_desktop,standalone_or_independent,standalone,native_systems_language,Active,active,text grid cpu · minimal native engine · classic tty,"[{'id': 'term_stjerm', 'Name': 'stjerm', 'similarity': 0.7}, {'id': 'term_cool_retro_term', 'Name': 'Cool Retro Term', 'similarity': 0.65}, {'id': 'term_eterm', 'Name': 'Eterm', 'similarity': 0.65}, {'id': 'term_linux_console', 'Name': 'Linux console', 'similarity': 0.65}, {'id': 'term_tek4010', 'Name': 'Tek4010', 'similarity': 0.65}]",['expanded_12'],text_grid_cpu + minimal_native_engine + classic_tty
